GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,16,-,**
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1331,96,70893,17018
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1926,88,76667,9314
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1970,73,31540,3554
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",962,47,39130,3228
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",3008,136,17083,4611
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1960,72,16503,2328
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",26,38,-,**
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1817,102,21060,7282
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",1076,36,18409,5966
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1436,62,16000,5952
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",2391,77,49180,4046
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",559,32,45101,8090
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1183,75,20268,3002
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1347,57,26066,8904
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",145,46,-,**
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",384,36,30694,12506
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",1913,141,28537,11693
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",506,36,49709,10192
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",2054,106,18394,3654
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",2748,74,23250,8096
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",2044,77,21551,4452
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",1635,64,20725,2451
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",698,31,40625,11884
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",1328,62,30179,4741
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",1602,54,27283,6922
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",1860,111,28010,7413
