GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,17,-,**
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1303,92,71250,16541
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1682,82,75833,6406
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1940,78,32328,4310
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",745,66,29491,6305
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",3009,127,22706,5412
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1920,55,13556,2529
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,12,-,**
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1826,113,14776,2801
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",1054,42,26272,4320
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1343,109,20563,5216
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",2299,97,49583,4427
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",473,50,34250,11572
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1159,55,21282,3179
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1275,51,21359,5497
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",83,54,26116,16397
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",407,31,37125,29297
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",1956,113,23528,4595
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",503,63,46418,4900
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",1978,105,18590,2173
