GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC08,Total; Estimate; Population 25 years and over
HC01_MOE_VC08,Total; Margin of Error; Population 25 years and over
HC02_EST_VC08,Percent; Estimate; Population 25 years and over
HC02_MOE_VC08,Percent; Margin of Error; Population 25 years and over
HC03_EST_VC08,Males; Estimate; Population 25 years and over
HC03_MOE_VC08,Males; Margin of Error; Population 25 years and over
HC04_EST_VC08,Percent Males; Estimate; Population 25 years and over
HC04_MOE_VC08,Percent Males; Margin of Error; Population 25 years and over
HC05_EST_VC08,Females; Estimate; Population 25 years and over
HC05_MOE_VC08,Females; Margin of Error; Population 25 years and over
HC06_EST_VC08,Percent Females; Estimate; Population 25 years and over
HC06_MOE_VC08,Percent Females; Margin of Error; Population 25 years and over
HC01_EST_VC09,Total; Estimate; Population 25 years and over - Less than 9th grade
HC01_MOE_VC09,Total; Margin of Error; Population 25 years and over - Less than 9th grade
HC02_EST_VC09,Percent; Estimate; Population 25 years and over - Less than 9th grade
HC02_MOE_VC09,Percent; Margin of Error; Population 25 years and over - Less than 9th grade
HC03_EST_VC09,Males; Estimate; Population 25 years and over - Less than 9th grade
HC03_MOE_VC09,Males; Margin of Error; Population 25 years and over - Less than 9th grade
HC04_EST_VC09,Percent Males; Estimate; Population 25 years and over - Less than 9th grade
HC04_MOE_VC09,Percent Males; Margin of Error; Population 25 years and over - Less than 9th grade
HC05_EST_VC09,Females; Estimate; Population 25 years and over - Less than 9th grade
HC05_MOE_VC09,Females; Margin of Error; Population 25 years and over - Less than 9th grade
HC06_EST_VC09,Percent Females; Estimate; Population 25 years and over - Less than 9th grade
HC06_MOE_VC09,Percent Females; Margin of Error; Population 25 years and over - Less than 9th grade
HC01_EST_VC10,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma"
HC01_MOE_VC10,"Total; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma"
HC02_EST_VC10,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma"
HC02_MOE_VC10,"Percent; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma"
HC03_EST_VC10,"Males; Estimate; Population 25 years and over - 9th to 12th grade, no diploma"
HC03_MOE_VC10,"Males; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma"
HC04_EST_VC10,"Percent Males; Estimate; Population 25 years and over - 9th to 12th grade, no diploma"
