GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,123,-,**
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1297,96,59826,12915
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1531,86,71968,8223
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1983,62,30355,4528
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",655,74,25093,9973
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",3029,126,24939,8217
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1968,79,13756,1345
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,123,-,**
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1812,107,15207,4046
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",1014,54,19450,5003
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1384,115,19300,4223
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",2335,103,44036,3787
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",449,48,33603,19299
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1211,58,16021,5409
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1226,64,20403,3345
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",62,49,23304,11094
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",426,27,55625,26284
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",2028,136,31566,6879
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",557,68,44432,12105
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",1904,124,18272,4774
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",2750,119,35816,3077
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",1517,111,24594,10450
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",1643,62,16086,4014
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",615,81,22146,22341
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",1279,86,25168,4167
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",1580,95,28933,7972
