GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",11517,383,1620,225,6502,328,14,17,216,78,0,123,2699,226,466,116,360,105,106,56
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",4286,542,622,263,1325,499,38,68,183,193,0,123,2089,534,29,36,24,35,5,9
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",4893,484,561,231,1129,259,0,123,115,115,0,123,2848,488,240,139,33,26,207,138
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",5140,401,983,293,1840,341,0,123,0,123,0,123,2193,398,124,71,28,36,96,62
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",2142,871,797,353,1017,699,20,39,51,82,0,123,251,154,6,19,6,19,0,123
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",8802,751,887,398,3339,689,0,123,11,18,0,123,4444,866,121,110,104,108,17,23
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",5036,517,1886,455,2146,475,8,17,0,123,0,123,937,384,59,68,0,123,59,68
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123,0,123
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",4934,478,1976,493,1230,316,15,24,0,123,0,123,1621,506,92,72,92,72,0,123
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",3063,286,529,273,2158,408,0,123,0,123,0,123,312,181,64,51,27,38,37,33
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",4764,580,1137,369,1633,448,21,35,0,123,0,123,1890,491,83,94,36,60,47,72
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",5755,544,258,138,4166,562,16,26,118,178,0,123,1093,409,104,124,79,115,25,41
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",1227,217,256,147,481,211,0,123,13,20,0,123,477,196,0,123,0,123,0,123
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",3498,334,1187,382,1328,270,72,111,0,123,0,123,810,297,101,107,89,105,12,21
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",3729,512,1132,385,1002,190,0,123,0,123,0,123,1572,537,23,37,0,123,23,37
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",201,175,43,67,0,123,0,123,0,123,0,123,158,176,0,123,0,123,0,123
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",1694,217,231,205,751,317,0,123,0,123,0,123,665,269,47,51,47,51,0,123
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",6952,701,3159,606,1596,570,0,123,253,255,0,123,1885,642,59,95,0,123,59,95
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",1391,367,373,168,248,197,100,140,321,208,0,123,135,98,214,272,27,58,187,264
