GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",0,16,-,**
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",1379,76,72034,13991
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",1921,87,74836,8407
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",1964,69,32312,6859
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",901,49,37936,3771
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",2953,138,18086,3694
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",1937,82,14479,1901
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",30,43,-,**
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",1840,97,17226,6097
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",1102,38,20153,5229
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",1392,71,17147,7165
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",2334,98,49529,5441
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",507,53,37250,12079
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",1144,73,19923,2402
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",1317,70,26541,7009
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",118,40,(X),(X)
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",370,47,37685,6696
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",1902,139,25990,6323
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",490,38,48056,6057
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",2115,86,18636,3658
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",2712,117,25741,7845
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",2062,73,21448,3092
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",1639,66,22719,2899
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",699,28,40950,10707
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",1213,75,30301,4692
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",1481,106,27456,9296
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",1759,125,28039,5380
